Top pages,Clicks,Impressions,CTR,Position
https://nationalactionnetwork.net/staff/michael-a-hardy/,30,1454,2.06%,19.01
https://nationalactionnetwork.net/newnews/rev-sharpton-clarifies-nan-authorized-boycott-to-be-announced-in-april-at-nan-convention/,29,37529,0.08%,6.21
https://nationalactionnetwork.net/nan-youth-college-division/,29,15522,0.19%,6.93
https://nationalactionnetwork.net/youth-huddle/,29,612,4.74%,19.53
https://nationalactionnetwork.net/about/contact-us/crisis/,28,10428,0.27%,8.01
https://nationalactionnetwork.net/videos/,27,45052,0.06%,6.35
https://nationalactionnetwork.net/staff/rev-jonathan-e-d-moseley-sr/,27,753,3.59%,13.34
https://nationalactionnetwork.net/newnews/5-years-after-his-murder-the-family-of-george-floyd-to-be-joined-by-rev-al-sharpton-attorney-ben-crump-national-leaders-for-a-graveside-memorial/,27,710,3.8%,14.66
https://nationalactionnetwork.net/donate/,26,12306,0.21%,6.04
https://nationalactionnetwork.net/save-the-date-for-nans-virtual-convention/,26,895,2.91%,7.5
https://nationalactionnetwork.net/staff/ebonie-riley/,25,593,4.22%,10.68
https://nationalactionnetwork.net/legal-night/,24,1380,1.74%,14.53
https://nationalactionnetwork.net/dc/,23,1552,1.48%,32.68
https://nationalactionnetwork.net/newnews/nan-newark-new-jersey-chapter/,22,281,7.83%,13.64
https://nationalactionnetwork.net/dc/our-mission/,21,1556,1.35%,5.42
https://nationalactionnetwork.net/newnews/rev-al-sharpton-salutes-episcopal-church-stance-against-trump-administrations-refugee-status-for-white-south-africans/,21,1205,1.74%,42.61
https://nationalactionnetwork.net/newnews/rev-al-sharpton-weighs-in-on-first-100-days-of-second-trump-administration-as-it-continues-assault-on-dei-democracy-and-civil-rights/,21,926,2.27%,6.74
https://nationalactionnetwork.net/events/,19,15822,0.12%,6.18
https://nationalactionnetwork.net/newnews/today-rev-sharpton-to-join-mayor-adams-nyc-jewish-leaders-to-condemn-fatal-washington-d-c-shooting-of-two-israeli-embassy-workers/,18,440,4.09%,18.07
https://nationalactionnetwork.net/commitment-march-get-your-knee-off-our-necks/,17,3360,0.51%,37.92
https://nationalactionnetwork.net/newnews/after-trump-delivers-opening-attack-on-federal-dei-programs-rev-sharpton-announces-boycott-of-companies-that-abandon-the-policies/,17,1436,1.18%,24.06
https://nationalactionnetwork.net/newnews/rev-al-sharpton-family-of-malcolm-x-including-ilyasah-shabazz-mayor-eric-adams-and-attorney-ben-crumpto-gather-in-harlem-to-commemorate-civil-rights-leaders-100th-birthday/,17,786,2.16%,12.95
https://nationalactionnetwork.net/nan-celebrates-living-black-history-honoring-reverend-jesse-l-jackson/,16,68864,0.02%,1.34
https://nationalactionnetwork.net/mow/,16,2541,0.63%,34.45
https://nationalactionnetwork.net/newnews/msnbcs-politicsnation-with-rev-al-sharpton-boasts-highest-concentration-of-black-viewers-on-cable-news/,16,1234,1.3%,17.07
https://nationalactionnetwork.net/newnews/amid-alarming-efforts-to-erase-black-history-rev-al-sharpton-travels-to-south-carolina-to-rediscover-his-familys-roots/,16,1073,1.49%,24.51
https://nationalactionnetwork.net/featured/on-the-30-year-anniversary-of-howard-beach-the-family-of-michael-griffin-one-of-the-victims-who-died-in-the-racial-attack-after-being-chased-to-death-will-honor-rev-al-sharpton/,16,516,3.1%,21.21
https://nationalactionnetwork.net/newnews/rev-al-sharpton-reacts-to-new-irs-ruling-allowing-churches-to-endorse-political-candidates/,16,147,10.88%,8.9
https://nationalactionnetwork.net/events-2/,15,605,2.48%,28.03
https://nationalactionnetwork.net/newnews/rev-sharpton-slams-trump-for-blaming-dei-biden-and-obama-for-tragic-plane-crash-in-washington-dc/,14,671,2.09%,6.93
https://nationalactionnetwork.net/otc/,14,352,3.98%,16.35
https://nationalactionnetwork.net/nan-celebrates-living-black-history-honoring-jamie-bland/,14,280,5%,8.72
http://nationalactionnetwork.net/wp-content/uploads/2017/06/NAN-Membership-Form2.pdf,14,172,8.14%,6.88
https://nationalactionnetwork.net/nan-celebrates-black-history-honoring-adam-clayton-powell-jr/,13,27986,0.05%,3.28
https://nationalactionnetwork.net/nan-celebrates-black-history-honoring-camille-yarbrough/,13,7810,0.17%,2.71
https://nationalactionnetwork.net/newnews/rev-al-sharpton-and-nan-announce-major-mlk-day-mobilization-to-defend-dr-kings-legacy-as-second-trump-term-nears/,13,2252,0.58%,16.05
https://nationalactionnetwork.net/press/,13,1803,0.72%,12.03
https://nationalactionnetwork.net/newnews/rev-al-sharpton-and-national-action-network-nan-announce-the-passing-of-longtime-executive-vice-president-and-general-counsel-michael-hardy-esq/,13,1015,1.28%,11.72
https://nationalactionnetwork.net/chapters/chapter-radio-shows/,13,705,1.84%,23.62
https://nationalactionnetwork.net/newnews/national-action-south-jersey-chapter-network/,13,350,3.71%,17.82
https://nationalactionnetwork.net/nan-celebrates-living-black-history-honoring-abner-louima/,12,1201,1%,11.07
https://nationalactionnetwork.net/newnews/thursday-rev-al-sharpton-to-take-part-in-juneteenth-celebration-condemn-trump-administrations-recent-travel-ban-on-haitians/,12,297,4.04%,8.42
https://nationalactionnetwork.net/newnews/rev-deves-toon-nan-national-field-director/,12,94,12.77%,11.04
https://nationalactionnetwork.net/robert-f-smith/,11,6484,0.17%,35.88
https://nationalactionnetwork.net/youth/youth-move-scholarships/,11,1695,0.65%,27.09
https://nationalactionnetwork.net/rev/,11,1127,0.98%,18.62
https://nationalactionnetwork.net/newnews/nan-2024-triumph-awards-to-celebrate-rev-al-sharptons-70th-birthday-honor-gladys-knight-robert-de-niro-wynton-marsalis-and-carolyn-cookie-mason-luminaries/,11,640,1.72%,16.68
https://nationalactionnetwork.net/register-for-nans-march-on-washington-get-your-knee-off-our-necks/,11,559,1.97%,21.66
https://nationalactionnetwork.net/nan-saturday-action-rally/page/29/,11,359,3.06%,6.21
https://nationalactionnetwork.net/august-march-bus-locations/,10,1101,0.91%,54.64
https://nationalactionnetwork.net/newnews/rev-al-sharpton-statement-on-retirement-of-rev-jesse-jackson-as-head-of-rainbow-push-coalition/,9,955,0.94%,18.11
https://nationalactionnetwork.net/commitment-march-get-your-knee-off-our-necks/register-to-travel-to-the-reclaim-the-dream-march-on-washington/,9,710,1.27%,35.2
https://nationalactionnetwork.net/staff/ms-trudy-b-grant/,9,487,1.85%,12.99
https://nationalactionnetwork.net/chapter/buffalo-new-york-chapter/,9,134,6.72%,20.49
https://nationalactionnetwork.net/newnews/lancaster-pennsylvania-chapter-city-council-candidates-debate/,9,57,15.79%,16.37
https://nationalactionnetwork.net/newnews/rev-al-sharpton-to-mark-70th-birthday-in-los-angeles-at-star-studded-celebration-with-appearances-by-cedric-the-entertainer-and-anthony-anderson/,8,9854,0.08%,10.14
https://nationalactionnetwork.net/selma/,8,8929,0.09%,27.97
https://nationalactionnetwork.net/rev/lena-horne-the-activist/,8,1208,0.66%,9.29
https://nationalactionnetwork.net/nans-virtual-convention/nan-virtual-convention-livestream-system-requirements/,8,791,1.01%,11.95
https://nationalactionnetwork.net/newnews/rev-al-sharpton-statement-on-president-bidens-decision-to-leave-the-2024-presidential-race/,8,350,2.29%,10.88
https://nationalactionnetwork.net/youth/mary-pat-hector/,8,334,2.4%,10.37
https://nationalactionnetwork.net/newnews/rev-sharpton-marks-10th-anniversary-of-the-racially-motivated-mass-shooting-at-emanuel-ame-church-in-charleston/,8,275,2.91%,25.45
https://nationalactionnetwork.net/mow/why-we-are-marching/,8,242,3.31%,23.38
https://nationalactionnetwork.net/newnews/nan-ca-orange-county-chapter/,8,206,3.88%,14.72
https://nationalactionnetwork.net/newnews/nan-las-vegas/,8,159,5.03%,9.18
https://nationalactionnetwork.net/chapter/nashville-tennessee-chapter/,8,146,5.48%,10.92
https://nationalactionnetwork.net/newnews/nans-north-east-regional-director-pastor-steffie-bartley-releases-statement-on-the-firing-of-sara-erwin/,8,138,5.8%,10.65
https://nationalactionnetwork.net/newnews/join-us-in-the-fight-for-diversity-equity-and-inclusion-meet-us-this-week-at-our-weekly-dei-thursday-picket-in-nyc/,8,94,8.51%,5.69
https://nationalactionnetwork.net/news/over-the-years/,7,41163,0.02%,5.77
https://nationalactionnetwork.net/newnews/saturday-at-nan-aap-rockys-mother-renee-black-to-speak-for-the-first-time-since-rappers-detention/,7,5310,0.13%,5.2
https://nationalactionnetwork.net/chapter/time-to-celebrate-nans-women-of-the-movement-ms-cynthia-davis/,7,318,2.2%,37.89
http://nationalactionnetwork.net/wp-content/uploads/2012/08/2Radio-personality-Aug.-6th-meeting.pdf,7,100,7%,12.76
https://nationalactionnetwork.net/newnews/chapters/,7,75,9.33%,12.68
https://nationalactionnetwork.net/newnews/philadelphia-chapter-national-action-network/,7,50,14%,15.88
https://nationalactionnetwork.net/about/rev-al-sharpton/,6,13732,0.04%,2.1
https://nationalactionnetwork.net/about/health-equity/,6,10484,0.06%,8.23
https://nationalactionnetwork.net/newnews/costco-in-union-new-jersey-to-shop-in-support-of-the-companys-commitment-to-diversity-equity-and-inclusion-dei/,6,7567,0.08%,12.21
https://nationalactionnetwork.net/newnews/earvin-magic-johnsons-equitrust-funds-over-100-million-in-ppp/,6,1022,0.59%,13.39
https://nationalactionnetwork.net/newnews/get-your-knee-off-our-necks-march/,6,678,0.88%,10.88
https://nationalactionnetwork.net/newnews/rev-al-sharpton-blasts-trump-over-lack-of-black-cabinet-level-nominations/,6,346,1.73%,9.64
https://nationalactionnetwork.net/nan-celebrates-living-black-history-honoring-vernon-e-hawkins/,6,210,2.86%,11.61
https://nationalactionnetwork.net/newnews/west-tennessee-nan-chapter/,6,209,2.87%,49.88
https://nationalactionnetwork.net/nan-saturday-action-rally/page/15/,6,187,3.21%,6.48
https://nationalactionnetwork.net/press/seeking-a-bone-marrow-donor-letter-from-shawn-austin/,6,140,4.29%,14.76
https://nationalactionnetwork.net/newnews/saturday-rev-sharpton-to-lead-nan-harlem-community-members-in-memorial-wreath-laying-for-excenia-mette/,6,133,4.51%,9.14
https://nationalactionnetwork.net/newnews/las-vegas-chapter/,6,84,7.14%,10.33
https://nationalactionnetwork.net/press/civil-rights-groups-sign-ground-breaking-agreement-with-comcast-and-nbc-universal-memorandum-of-understanding-to-be-filed-today/,6,62,9.68%,41.21
https://nationalactionnetwork.net/nan-celebrates-black-history-honoring-dr-betty-shabazz/,5,27097,0.02%,2.16
https://nationalactionnetwork.net/town-halls/,5,1284,0.39%,12.67
https://nationalactionnetwork.net/chapternews/,5,1091,0.46%,8.2
https://nationalactionnetwork.net/spotlight-on-nans-washington-d-c-bureau/,5,733,0.68%,11.22
https://nationalactionnetwork.net/media/page/2/,5,498,1%,22.67
https://nationalactionnetwork.net/newnews/nan-sacramento-named-2024-chapter-of-the-year/,5,295,1.69%,15.32
https://nationalactionnetwork.net/yaa-test/,5,253,1.98%,31.95
https://nationalactionnetwork.net/newnews/bridging-the-divide-conference-may-2-4-2024/,5,236,2.12%,21.32
https://nationalactionnetwork.net/newnews/nan-to-turn-nans-michigan-chapter-headquarters-into-a-community-kitchen-to-provide-food-for-those-in-need-of-support/,5,201,2.49%,41.87
https://nationalactionnetwork.net/chapter/philly-nan-members-march-2022-newsletter/,5,150,3.33%,38.49
https://nationalactionnetwork.net/chapter/meet-interim-president-pastor-darryl-scarbrough/,5,139,3.6%,11.24
https://nationalactionnetwork.net/newnews/national-action-network-las-vegas/,5,119,4.2%,10.35
https://nationalactionnetwork.net/locations/house-of-justice-2/,5,95,5.26%,4.15
https://nationalactionnetwork.net/newnews/rev-al-sharpton-declares-florida-ground-zero-in-fight-for-future-of-civil-rights-in-the-united-states/,5,52,9.62%,17.79
https://nationalactionnetwork.net/newnews/south-east-chapter-south-carolina-education-town-hall-meeting-thursday-february-3rd/,5,52,9.62%,19.79
https://nationalactionnetwork.net/chapter/nan-south-carolina-chapters-distribute-meals-grocceries/,5,34,14.71%,9.5
https://nationalactionnetwork.net/nan-celebrates-black-history-percy-ellis-sutton/,4,1107,0.36%,6.99
https://nationalactionnetwork.net/aca/,4,695,0.58%,35.88
https://nationalactionnetwork.net/press/national-action-network-nan-rev-al-sharpton-labor-leaders-community-activists-to-lead-rallies-in-over-25-cities-on-december-9th-for-jobs-and-justice/,4,534,0.75%,56.87
https://nationalactionnetwork.net/newnews/,4,396,1.01%,18.57
https://nationalactionnetwork.net/nan-timeline/,4,368,1.09%,15.85
https://nationalactionnetwork.net/chapter/nan-phoenix-chapter-high-school-senior-racial-slur/,4,296,1.35%,11.81
https://nationalactionnetwork.net/newnews/saturday-rev-al-sharpton-to-host-annual-mlk-day-policy-forum-at-nan-house-of-justice-in-harlem/,4,292,1.37%,21.63
https://nationalactionnetwork.net/terms-of-use/,4,225,1.78%,10.37
https://nationalactionnetwork.net/news/page/11/,4,215,1.86%,6.82
https://nationalactionnetwork.net/membership/volunteer/,4,187,2.14%,19.22
https://nationalactionnetwork.net/chapter/nan-san-diego-revival-of-the-movement/,4,159,2.52%,12.69
https://nationalactionnetwork.net/newnews/board-of-directors/,4,133,3.01%,28.62
https://nationalactionnetwork.net/newnews/happy-thanksgiving-from-the-national-action-network-sacramento/,4,101,3.96%,18.52
https://nationalactionnetwork.net/nan-celebrates-living-black-history-honoring-rev-charles-e-williams-sr/,4,101,3.96%,20.52
https://nationalactionnetwork.net/newnews/tallahassee-national-action-in-action-radio-show-on-hallelujah-95-3-fm-tuesdays-at-600-p-m-to-630p-m/,4,100,4%,9.82
https://nationalactionnetwork.net/chapter/serious-concerns-surround-sheriffs-deputy-accused-of-excessive-force/,4,91,4.4%,17.82
https://nationalactionnetwork.net/newnews/marquee-event-of-2024-nan-annual-convention-recognizes-cultural-business-and-health-leaders-who-use-their-platform-to-advance-dr-kings-dream-of-a-just-equal-nation/,4,86,4.65%,18.3
https://nationalactionnetwork.net/newnews/nan-buffalo-new-york-chapter/,4,65,6.15%,9.31
https://nationalactionnetwork.net/newnews/lancaster-pennsylvania-chapter-mayoral-candidates-forum/,4,65,6.15%,40.22
https://nationalactionnetwork.net/newnews/march-on-wall-street-depart-memphis-wed-august-27-2025/,4,59,6.78%,3.85
https://nationalactionnetwork.net/newnews/rev-sharpton-slams-trump-doj-decision-to-abandon-lawsuits-against-louisville-and-minneapolis-police-departments/,4,52,7.69%,7.12
https://nationalactionnetwork.net/video/barbara-scrivners-struggle-post-clemency/,4,19,21.05%,8.74
https://nationalactionnetwork.net/newnews/rev-al-sharpton-to-join-the-family-of-george-floyd-attorney-ben-crump-and-the-legal-team-to-provide-reaction-to-the-sentencing-of-derek-chauvin-provide-prayer/,3,8137,0.04%,4.54
https://nationalactionnetwork.net/featured/xea-myers-rev-al-sharpton/,3,3309,0.09%,2.24
https://nationalactionnetwork.net/us-congress-faqs/,3,933,0.32%,22.05
https://nationalactionnetwork.net/convention-mockup/,3,806,0.37%,21.04
https://nationalactionnetwork.net/newnews/national-action-networks-2024-convention/,3,788,0.38%,20.28
https://nationalactionnetwork.net/newnews/history/,3,599,0.5%,10.86
https://nationalactionnetwork.net/newnews/tyler-perry-to-receive-the-presidents-award-at-the-nan-2023-keepers-of-the-dream-awards-for-his-contributions-to-civil-rights-and-social-justice/,3,423,0.71%,26.13
https://nationalactionnetwork.net/newnews/wed-rev-sharpton-to-urge-black-religious-leaders-to-mobilize-congregants-around-2020-election-at-conference-of-national-black-clergy-in-atlanta/,3,372,0.81%,14.59
https://nationalactionnetwork.net/commitment-march-activities/,3,315,0.95%,27.54
https://nationalactionnetwork.net/newnews/video-god-in-the-ghetto-racism-religion-and-the-black-church/,3,258,1.16%,30.42
https://nationalactionnetwork.net/video/michael-jacksons-speech-at-national-action-network/,3,249,1.2%,18.35
http://nationalactionnetwork.net/wp-content/uploads/2012/01/NEW-YORKER-MAGAZINE-JAN-25-1993.pdf,3,187,1.6%,19.37
https://nationalactionnetwork.net/nan-packs-court-for-disciplinary-hearing-for-eric-gardners-killer/,3,168,1.79%,32.62
https://nationalactionnetwork.net/press/national-action-network-across-america/,3,159,1.89%,48.94
https://nationalactionnetwork.net/nan-convention-2018/,3,154,1.95%,14.5
https://nationalactionnetwork.net/video/nan-youth-huddle-episode-5-covid-19-the-new-normal-with-deray-mckesson-andy-king-and-nina-saxon/,3,154,1.95%,17.84
https://nationalactionnetwork.net/press/statement-from-rev-al-sharpton-regarding-the-passing-of-whitney-houston/,3,141,2.13%,7.51
https://nationalactionnetwork.net/newnews/national-action-network-puts-mcdonalds-corporation-on-notice-over-racial-discrimination-practices/,3,138,2.17%,14.98
https://nationalactionnetwork.net/newnews/rev-al-sharpton-welcomes-vice-president-kamala-harris-during-surprise-appearance-at-nans-mlk-birthday-breakfast-as-civil-rights-leader-delivers-powerful-call-to-action-to-protect-dei-2/,3,132,2.27%,17.54
https://nationalactionnetwork.net/newnews/rev-sharpton-responds-to-delay-in-releasing-more-body-cam-footage-of-fatal-beating-of-tyre-nichols/,3,126,2.38%,12.22
https://nationalactionnetwork.net/newnews/member-alert-a-call-to-action🗣🗣/,3,109,2.75%,18.17
https://nationalactionnetwork.net/chapternews/page/4/,3,106,2.83%,12.02
https://nationalactionnetwork.net/newnews/rev-al-sharpton-calls-for-passage-of-george-floyd-justice-in-policing-act-on-eve-of-fourth-anniversary-of-his-death/,3,104,2.88%,16.93
https://nationalactionnetwork.net/category/legal-night/legal-night-videos/,3,94,3.19%,22.56
https://nationalactionnetwork.net/newnews/exclusive-erica-garner-slams-fraudulent-claims-in-okeefe-video-announces-foundation/,3,89,3.37%,21.27
https://nationalactionnetwork.net/press.../page/17/,3,74,4.05%,15.77
https://nationalactionnetwork.net/newnews/rev-sharpton-speaks-to-biden-on-politicsnation-discusses-possible-commitment-to-a-vp-women-of-color/,3,71,4.23%,15.54
https://nationalactionnetwork.net/newnews/nan-miami-chapter-begins-meal-distribution/,3,71,4.23%,23.46
https://nationalactionnetwork.net/newnews/join-us-in-philadelphia-for-our-next-stop-of-the-national-action-networks-getoutthevote-tour/,3,62,4.84%,15.56
https://nationalactionnetwork.net/rev-charles-l-white-jr/,3,56,5.36%,9.79
https://nationalactionnetwork.net/press/memorial-service-for-reynaldo-cuevas-the-bodega-worker-killed-by-the-nypd-to-take-place-at-rev-al-sharptons-national-action-network-headquarters-this-sat-october-13-2012-at-11-a-m/,3,52,5.77%,9.77
https://nationalactionnetwork.net/featured/statement-by-rev-al-sharpton-on-the-killing-of-nine-people-at-emanuel-ame-church-in-charleston-south-carolina/,3,45,6.67%,11.93
https://nationalactionnetwork.net/newnews/join-rev-ron-sailor-pastor-franklin-lee-pastor-emory-berry-and-nan-atlanta-during-the-week-of-thanksgiving-for-two-special-giveaways/,3,40,7.5%,31.38
https://nationalactionnetwork.net/chapter/baltimore-chapter-celebrates-mlk-day-starts-financial-assistant-program-for-homeless/,3,30,10%,10.9
https://nationalactionnetwork.net/newnews/augusta-ga-chapter-local-organization-combats-gun-violence-through-youth-camping-trip-wjbf/,3,28,10.71%,24.96
https://nationalactionnetwork.net/chapter/national-action-network-greater-cleveland-chapter-will-host-its-annual-dinner-and-a-movie-on-sunday-september-11-4pm-for-the-viewing-of-selma-and-in-memory-of-the-4-little-girls-killed-on-a-sunday-a/,3,21,14.29%,30.24
https://nationalactionnetwork.net/newnews/january-20-2025-martin-luther-king-jr-federal-holiday-rally-washington-d-c/,2,19615,0.01%,9.05
https://nationalactionnetwork.net/newnews/rev-al-sharpton-national-action-network-respond-to-the-supreme-court-decision-on-brnovich-v-dnc/,2,13067,0.02%,1.1
https://nationalactionnetwork.net/newnews/the-king-center-announces-the-passing-of-its-chairman-and-long-time-leader-dexter-scott-king-son-of-dr-martin-luther-king-jr-and-mrs-coretta-scott-king/,2,3617,0.06%,26.01
https://nationalactionnetwork.net/chapter/nan-field-department-salutes-ms-ashley-sharpton/,2,2306,0.09%,2.13
https://nationalactionnetwork.net/featured/statement-from-rev-al-sharpton-regarding-the-death-of-rodney-king/,2,1466,0.14%,1.92
https://nationalactionnetwork.net/wp-content/themes/nan15/mapdata.xml,2,1075,0.19%,36.23
https://nationalactionnetwork.net/category/25-city-rally/,2,815,0.25%,41.07
https://nationalactionnetwork.net/newnews/saturday-rev-sharpton-100-nan-members-to-shop-at-east-harlem-costco-to-support-companys-commitment-to-dei-as-trump-continues-attacks-on-federal-policies-during-first-days-in-office/,2,657,0.3%,26.27
https://nationalactionnetwork.net/nan-celebrates-black-history-honoring-jane-bolin/,2,496,0.4%,15.32
https://nationalactionnetwork.net/newnews/ahead-of-nan-mlk-day-rally-in-washington-dc-rev-sharpton-to-deliver-sunday-sermon-at-harlems-historic-abyssinian-baptist-church/,2,378,0.53%,25.66
https://nationalactionnetwork.net/wp-content/uploads/2024/03/NAN-CONVENTION-POST-V1.pdf,2,377,0.53%,35.99
https://nationalactionnetwork.net/newnews/nan-charter-communications-make-a-major-investment-in-minority-owned-businesses-by-providing-carver-bancorp-with-a-1-5-million-low-cost-loan/,2,341,0.59%,39.92
https://nationalactionnetwork.net/newnews/elected-officials-dignitaries-to-visit-nans-headquarters-to-celebrate-rev-al-sharptons-birthday/,2,334,0.6%,10.68
https://nationalactionnetwork.net/ministers-march-for-justice/,2,316,0.63%,9.82
https://nationalactionnetwork.net/year-2014/,2,302,0.66%,26.33
https://nationalactionnetwork.net/newnews/the-indomitable-reverend-magorakennedy-bka-rev-crone-goddess/,2,299,0.67%,10.04
https://nationalactionnetwork.net/rev/michael-jackson-tribute/,2,295,0.68%,25.2
https://nationalactionnetwork.net/newnews/rev-al-sharpton-responds-to-verdict-in-jordan-neely-case/,2,284,0.7%,27.34
https://nationalactionnetwork.net/newnews/rev-al-sharpton-responds-to-horrific-video-of-upstate-ny-correction-officers-killing-robert-l-brooks/,2,277,0.72%,21.38
https://nationalactionnetwork.net/tech/,2,276,0.72%,11.96
https://nationalactionnetwork.net/newnews/rev-sharpton-to-lead-memorial-and-rally-for-los-angeles-fire-victims-with-attorney-ben-crump-in-pasadena-this-thursday/,2,276,0.72%,15.05
https://nationalactionnetwork.net/chapter/nan-across-america-8-14-11/,2,265,0.75%,34.13
https://nationalactionnetwork.net/newnews/funeral-arrangements-for-michael-a-hardy-esq/,2,249,0.8%,10.43
https://nationalactionnetwork.net/newnews/rev-sharpton-covered-in-the-british-headlines/,2,244,0.82%,9.42
https://nationalactionnetwork.net/nan-saturday-action-rally/page/9/,2,242,0.83%,8.82
https://nationalactionnetwork.net/newnews/watch-yusuf-hawkins-storm-over-brooklyn-2020/,2,217,0.92%,40
https://nationalactionnetwork.net/chapter/time-to-celebrate-nans-women-of-the-movement-dr-marcia-l-thomas-mccoy/,2,213,0.94%,29.48
https://nationalactionnetwork.net/newnews/nan-sacramento-leaders-participate-in-grassroots-canvassing-effort-in-reno-for-presidential-election/,2,203,0.99%,26.27
https://nationalactionnetwork.net/media/photos/,2,194,1.03%,13.21
http://nationalactionnetwork.net/wp-content/uploads/2016/12/March-on-Washington-Bus-Registration-Sign-up-Responses.pdf,2,193,1.04%,22.8
https://nationalactionnetwork.net/newnews/family-of-college-basketball-star-darius-lee-to-appear-at-nans-house-of-justice-rally-this-saturday-in-harlem/,2,191,1.05%,40.85
https://nationalactionnetwork.net/newnews/60th-anniversary-of-march-on-washington-a-continuation-of-dr-kings-work/,2,175,1.14%,50.74
https://nationalactionnetwork.net/nan-celebrates-living-black-history-honoring-reverend-dr-w-franklyn-richardson/,2,170,1.18%,16.21
https://nationalactionnetwork.net/convention-2017/,2,159,1.26%,24.42
https://nationalactionnetwork.net/newnews/appalling-civil-rights-leaders-outraged-after-grand-jury-fails-to-indict-cop-in-death-of-tamir-rice-protests-erupt/,2,157,1.27%,36.58
https://nationalactionnetwork.net/educationsummit/,2,146,1.37%,7.94
https://nationalactionnetwork.net/newnews/rev-sharpton-to-lead-memorial-and-rally-for-los-angeles-fire-victims-with-attorney-ben-crump-in-pasadena-this-thursday-2/,2,134,1.49%,38.6
